"layer","artifact","native_status","sp1_assertion_anchor","sp1_interaction_anchor","sail_or_machine_role","conformance","audit_note"
"chip","Add","sound+complete","semantic iff","all-bus syntactic normalized","advance conditional","trace test","strongest template"
"chip","Addi","sound+complete","semantic iff","toProp only","advance conditional","none","bus shape open"
"chip","Addw","sound+complete","semantic iff","all-bus syntactic normalized","advance conditional","trace test","strongest template"
"chip","Sub","sound+complete","semantic iff","all-bus syntactic normalized","advance conditional","trace test","strongest template"
"chip","Subw","sound+complete","semantic iff","all-bus syntactic normalized","advance conditional","trace test","strongest template"
"chip","Bitwise","sound+complete","one-way reduced","one-way toProp","advance conditional","trace test","checked-in circuit strengthens pinned SP1"
"chip","Lt","sound+complete","semantic iff","toProp only","advance conditional","trace test","bus shape open"
"chip","ShiftLeft","sound+complete","one-way reduced","one-way toProp","advance conditional","trace test","composed and bus exactness open"
"chip","ShiftRight","sound+complete","one-way reduced","one-way toProp","advance conditional","trace test","composed and bus exactness open"
"chip","Jal","sound+complete","semantic iff","toProp only","advance conditional","none","bus shape open"
"chip","Jalr","sound+complete","semantic iff","toProp only","advance conditional","none","bus shape open"
"chip","Branch","sound+complete","one-way reduced","one-way toProp","advance conditional","none","composed and bus exactness open"
"chip","UType","sound+complete","semantic iff","toProp only","advance conditional","none","bus shape open"
"chip","LoadByte","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","LoadHalf","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","LoadWord","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","LoadDouble","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","LoadX0","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","StoreByte","sound+complete","semantic iff","toProp only","advance conditional","none","readiness includes ROM disjointness"
"chip","StoreHalf","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","StoreWord","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","StoreDouble","sound+complete","semantic iff","toProp only","advance conditional","none","non-byte bus shape open"
"chip","Mul","sound; completeness sorry","one-way reduced","one-way toProp","advance conditional","trace test","operation assertion anchor absent"
"chip","DivRem","soundness stops; completeness stop","none","none","advance conditional","trace test","largest direct verification gap"
"chip","AluX0","sound+complete","semantic iff","toProp only","advance conditional","none","29-way readiness seam"
"operation","Add","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","witness reproduced","registered circuit API-normalization diff"
"operation","Sub","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","witness reproduced","registered circuit API-normalization diff"
"operation","AddrAdd","sound+complete","iff RawSpec","syntactic normalized","composed helper","checked-in only","pinned emitter unsupported; circuit API diff"
"operation","Addw","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","witness reproduced","registered circuit API-normalization diff"
"operation","Subw","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","witness reproduced","registered circuit API-normalization diff"
"operation","Bitwise","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","checked-in only","pinned emitter unsupported; substantive circuit drift"
"operation","IsEqualWord","sound+complete","iff RawSpec","syntactic normalized","composed helper","checked-in only","pinned emitter unsupported"
"operation","IsZero","sound+complete","iff RawSpec","syntactic normalized","composed helper","witness reproduced","registered circuit exact"
"operation","IsZeroWord","sound+complete","iff RawSpec","syntactic normalized","composed helper","witness reproduced","registered circuit exact"
"operation","LtUnsigned","sound+complete","iff RawSpec","syntactic normalized","chip subcircuit","witness reproduced","registered circuit exact"
"operation","LtSigned","sound+complete","iff RawSpec","composed anchors only","chip subcircuit","none","registered circuit exact"
"operation","Mul","sound+complete","missing assertion anchor","semantic only; syntactic commented","chip subcircuit","witness reproduced","checked-in circuit absent from registry"
"operation","U16Compare","sound+complete","iff RawSpec","syntactic normalized","composed helper","checked-in only","pinned emitter unsupported; circuit API diff"
"operation","U16MSB","sound+complete","iff RawSpec","syntactic normalized","composed helper","checked-in only","pinned emitter unsupported; circuit API diff"
"operation","Address","native flat gadget","iff RawSpec","toProp in combined theorem","load/store helper","none","no circuit-form artifact"
"operation","BitwiseU16","native flat gadget","iff RawSpec","toProp in combined theorem","bitwise helper","none","no circuit-form artifact"
"operation","U16toU8Safe","native flat gadget","iff RawSpec","syntactic normalized","mul helper","none","no circuit-form artifact"
"operation","U16toU8Unsafe","native flat gadget","iff RawSpec","syntactic normalized","helper","none","no circuit-form artifact"
"reader","CPUState","native circuit","semantic iff","state/combined plus byte syntactic","chip subcircuit","none","best reader syntactic coverage"
"reader","RType","native circuit","semantic iff","memory/program/byte syntactic","chip subcircuit","none","no combined all-bus theorem"
"reader","ALUType","native circuit","semantic iff","memory/program/byte syntactic","chip subcircuit","none","no combined all-bus theorem"
"reader","IType","native circuit","semantic iff","none","chip subcircuit","none","bus exactness open"
"reader","ITypeImmutable","native circuit","semantic iff","none","chip subcircuit","none","bus exactness open"
"reader","JType","native circuit","semantic iff","none","chip subcircuit","none","bus exactness open"
"machine","sp1Ensemble","Clean Ensemble","not applicable","balance constraints","25 chips plus providers","build only","public IO omits bound program and exit"
"machine","sp1_machine_soundness","sorry-backed FormalEnsemble","not applicable","balance-derived trail","current capstone","axiom probe","does not conclude Sail execution"
"machine","sp1_target_execution","conditional Lean proof","not applicable","consumes TargetObligations","SailChain walk induction","axiom probe","real proof but obligations external"
"machine","sp1_target_soundness","conditional wrapper","not applicable","consumes arbitrary obligations","target capstone","axiom probe","not end-to-end"
